timestamp,visits
2015-07-01,4
2015-07-02,8
2015-07-03,4
2015-07-04,9
2015-07-05,7
2015-07-06,4
2015-07-07,15
2015-07-08,9
2015-07-09,17
2015-07-10,16
2015-07-11,10
2015-07-12,4
2015-07-13,8
2015-07-14,17
2015-07-15,11
2015-07-16,13
2015-07-17,12
2015-07-18,21
2015-07-19,14
2015-07-20,5
2015-07-21,11
2015-07-22,16
2015-07-23,8
2015-07-24,7
2015-07-25,14
2015-07-26,8
2015-07-27,9
2015-07-28,10
2015-07-29,15
2015-07-30,5
2015-07-31,5
2015-08-01,8
2015-08-02,8
2015-08-03,10
2015-08-04,9
2015-08-05,8
2015-08-06,6
2015-08-07,5
2015-08-08,2
2015-08-09,11
2015-08-10,10
2015-08-11,7
2015-08-12,9
2015-08-13,8
2015-08-14,2
2015-08-15,2
2015-08-16,5
2015-08-17,11
2015-08-18,5
2015-08-19,4
2015-08-20,6
2015-08-21,11
2015-08-22,12
2015-08-23,8
2015-08-24,6
2015-08-25,4
2015-08-26,8
2015-08-27,7
2015-08-28,8
2015-08-29,7
2015-08-30,2
2015-08-31,2
2015-09-01,7
2015-09-02,3
2015-09-03,7
2015-09-04,9
2015-09-05,7
2015-09-06,9
2015-09-07,9
2015-09-08,4
2015-09-09,5
2015-09-10,2
2015-09-11,5
2015-09-12,10
2015-09-13,5
2015-09-14,5
2015-09-15,8
2015-09-16,4
2015-09-17,4
2015-09-18,12
2015-09-19,10
2015-09-20,7
2015-09-21,5
2015-09-22,13
2015-09-23,11
2015-09-24,2
2015-09-25,9
2015-09-26,12
2015-09-27,13
2015-09-28,11
2015-09-29,9
2015-09-30,6
2015-10-01,5
2015-10-02,6
2015-10-03,9
2015-10-04,11
2015-10-05,13
2015-10-06,7
2015-10-07,8
2015-10-08,10
2015-10-09,4
2015-10-10,9
2015-10-11,4
2015-10-12,5
2015-10-13,12
2015-10-14,4
2015-10-15,10
2015-10-16,6
2015-10-17,8
2015-10-18,11
2015-10-19,10
2015-10-20,2
2015-10-21,3
2015-10-22,10
2015-10-23,5
2015-10-24,9
2015-10-25,15
2015-10-26,3
2015-10-27,7
2015-10-28,5
2015-10-29,12
2015-10-30,10
2015-10-31,9
2015-11-01,3
2015-11-02,51
2015-11-03,18
2015-11-04,14
2015-11-05,15
2015-11-06,5
2015-11-07,5
2015-11-08,7
2015-11-09,1
2015-11-10,2
2015-11-11,8
2015-11-12,3
2015-11-13,6
2015-11-14,9
2015-11-15,6
2015-11-16,7
2015-11-17,1
2015-11-18,4
2015-11-19,6
2015-11-20,4
2015-11-21,8
2015-11-22,4
2015-11-23,6
2015-11-24,7
2015-11-25,7
2015-11-26,14
2015-11-27,6
2015-11-28,11
2015-11-29,9
2015-11-30,8
2015-12-01,11
2015-12-02,5
2015-12-03,6
2015-12-04,10
2015-12-05,7
2015-12-06,10
2015-12-07,16
2015-12-08,6
2015-12-09,4
2015-12-10,6
2015-12-11,19
2015-12-12,5
2015-12-13,13
2015-12-14,3
2015-12-15,11
2015-12-16,8
2015-12-17,6
2015-12-18,11
2015-12-19,10
2015-12-20,10
2015-12-21,10
2015-12-22,4
2015-12-23,7
2015-12-24,10
2015-12-25,8
2015-12-26,7
2015-12-27,10
2015-12-28,9
2015-12-29,8
2015-12-30,14
2015-12-31,9
2016-01-01,8
2016-01-02,7
2016-01-03,7
2016-01-04,15
2016-01-05,15
2016-01-06,10
2016-01-07,12
2016-01-08,15
2016-01-09,9
2016-01-10,9
2016-01-11,3
2016-01-12,8
2016-01-13,8
2016-01-14,12
2016-01-15,7
2016-01-16,6
2016-01-17,8
2016-01-18,16
2016-01-19,13
2016-01-20,17
2016-01-21,2
2016-01-22,20
2016-01-23,6
2016-01-24,12
2016-01-25,9
2016-01-26,10
2016-01-27,16
2016-01-28,14
2016-01-29,3
2016-01-30,2
2016-01-31,13
2016-02-01,3
2016-02-02,7
2016-02-03,11
2016-02-04,6
2016-02-05,5
2016-02-06,13
2016-02-07,1
2016-02-08,7
2016-02-09,5
2016-02-10,7
2016-02-11,10
2016-02-12,7
2016-02-13,8
2016-02-14,6
2016-02-15,4
2016-02-16,4
2016-02-17,16
2016-02-18,11
2016-02-19,5
2016-02-20,11
2016-02-21,9
2016-02-22,5
2016-02-23,8
2016-02-24,5
2016-02-25,11
2016-02-26,13
2016-02-27,20
2016-02-28,5
2016-02-29,13
2016-03-01,4
2016-03-02,8
2016-03-03,6
2016-03-04,14
2016-03-05,9
2016-03-06,9
2016-03-07,6
2016-03-08,8
2016-03-09,8
2016-03-10,5
2016-03-11,11
2016-03-12,11
2016-03-13,12
2016-03-14,7
2016-03-15,6
2016-03-16,5
2016-03-17,8
2016-03-18,16
2016-03-19,9
2016-03-20,7
2016-03-21,17
2016-03-22,13
2016-03-23,4
2016-03-24,14
2016-03-25,13
2016-03-26,10
2016-03-27,12
2016-03-28,9
2016-03-29,19
2016-03-30,10
2016-03-31,14
2016-04-01,12
2016-04-02,15
2016-04-03,9
2016-04-04,9
2016-04-05,15
2016-04-06,12
2016-04-07,9
2016-04-08,13
2016-04-09,11
2016-04-10,10
2016-04-11,4
2016-04-12,11
2016-04-13,7
2016-04-14,10
2016-04-15,9
2016-04-16,4
2016-04-17,9
2016-04-18,47
2016-04-19,5
2016-04-20,11
2016-04-21,6
2016-04-22,8
2016-04-23,11
2016-04-24,5
2016-04-25,7
2016-04-26,8
2016-04-27,3
2016-04-28,7
2016-04-29,8
2016-04-30,7
2016-05-01,7
2016-05-02,6
2016-05-03,9
2016-05-04,8
2016-05-05,8
2016-05-06,11
2016-05-07,6
2016-05-08,11
2016-05-09,21
2016-05-10,7
2016-05-11,6
2016-05-12,12
2016-05-13,8
2016-05-14,11
2016-05-15,6
2016-05-16,4
2016-05-17,9
2016-05-18,2
2016-05-19,9
2016-05-20,6
2016-05-21,7
2016-05-22,14
2016-05-23,6
2016-05-24,5
2016-05-25,6
2016-05-26,7
2016-05-27,2
2016-05-28,6
2016-05-29,14
2016-05-30,2
2016-05-31,6
2016-06-01,10
2016-06-02,10
2016-06-03,7
2016-06-04,9
2016-06-05,55
2016-06-06,7
2016-06-07,19
2016-06-08,8
2016-06-09,12
2016-06-10,10
2016-06-11,8
2016-06-12,16
2016-06-13,8
2016-06-14,7
2016-06-15,14
2016-06-16,9
2016-06-17,4
2016-06-18,8
2016-06-19,9
2016-06-20,9
2016-06-21,19
2016-06-22,9
2016-06-23,9
2016-06-24,11
2016-06-25,19
2016-06-26,7
2016-06-27,16
2016-06-28,9
2016-06-29,7
2016-06-30,5
2016-07-01,11
2016-07-02,13
2016-07-03,9
2016-07-04,11
2016-07-05,11
2016-07-06,6
2016-07-07,10
2016-07-08,8
2016-07-09,7
2016-07-10,9
2016-07-11,8
2016-07-12,13
2016-07-13,13
2016-07-14,8
2016-07-15,13
2016-07-16,19
2016-07-17,11
2016-07-18,10
2016-07-19,7
2016-07-20,9
2016-07-21,10
2016-07-22,7
2016-07-23,11
2016-07-24,10
2016-07-25,8
2016-07-26,7
2016-07-27,6
2016-07-28,15
2016-07-29,6
2016-07-30,12
2016-07-31,16
2016-08-01,10
2016-08-02,8
2016-08-03,12
2016-08-04,8
2016-08-05,5
2016-08-06,4
2016-08-07,5
2016-08-08,15
2016-08-09,8
2016-08-10,10
2016-08-11,11
2016-08-12,14
2016-08-13,10
2016-08-14,15
2016-08-15,13
2016-08-16,7
2016-08-17,7
2016-08-18,6
2016-08-19,11
2016-08-20,4
2016-08-21,3
2016-08-22,4
2016-08-23,21
2016-08-24,3
2016-08-25,7
2016-08-26,11
2016-08-27,6
2016-08-28,9
2016-08-29,6
2016-08-30,4
2016-08-31,3
2016-09-01,9
2016-09-02,6
2016-09-03,7
2016-09-04,7
2016-09-05,11
2016-09-06,22
2016-09-07,10
2016-09-08,5
2016-09-09,9
2016-09-10,8
2016-09-11,9
2016-09-12,5
2016-09-13,3
2016-09-14,7
2016-09-15,6
2016-09-16,17
2016-09-17,11
2016-09-18,12
2016-09-19,5
2016-09-20,7
2016-09-21,9
2016-09-22,8
2016-09-23,12
2016-09-24,11
2016-09-25,6
2016-09-26,14
2016-09-27,7
2016-09-28,12
2016-09-29,8
2016-09-30,14
2016-10-01,10
2016-10-02,7
2016-10-03,5
2016-10-04,6
2016-10-05,9
2016-10-06,4
2016-10-07,0
2016-10-08,8
2016-10-09,13
2016-10-10,15
2016-10-11,8
2016-10-12,4
2016-10-13,9
2016-10-14,5
2016-10-15,10
2016-10-16,9
2016-10-17,9
2016-10-18,8
2016-10-19,4
2016-10-20,11
2016-10-21,13
2016-10-22,8
2016-10-23,11
2016-10-24,4
2016-10-25,2
2016-10-26,12
2016-10-27,4
2016-10-28,4
2016-10-29,8
2016-10-30,7
2016-10-31,8
2016-11-01,6
2016-11-02,6
2016-11-03,9
2016-11-04,6
2016-11-05,12
2016-11-06,17
2016-11-07,7
2016-11-08,8
2016-11-09,17
2016-11-10,9
2016-11-11,6
